date_time,temperature,humidity,pressure
2010-01-01 00:00:00,30.2,97,1016
2010-01-01 03:00:00,32.0,96,1015
2010-01-01 06:00:00,28.4,95,1015
2010-01-01 09:00:00,35.6,90,1015
2010-01-01 12:00:00,41.0,89,1013
2010-01-01 15:00:00,37.4,87,1012
2010-01-01 18:00:00,28.4,84,1014
2010-01-01 21:00:00,26.6,81,1013
2010-01-02 00:00:00,24.8,78,1012
2010-01-02 03:00:00,24.8,75,1012
2010-01-02 06:00:00,24.8,72,1012
2010-01-02 09:00:00,24.8,63,1012
2010-01-02 12:00:00,28.4,55,1011
2010-01-02 15:00:00,24.8,58,1013
2010-01-02 18:00:00,23.0,58,1014
2010-01-02 21:00:00,19.4,62,1014
2010-01-03 00:00:00,19.4,63,1013
2010-01-03 03:00:00,17.6,65,1013
2010-01-03 06:00:00,15.8,64,1010
2010-01-03 09:00:00,19.4,57,1010
2010-01-03 12:00:00,24.8,55,1007
2010-01-03 15:00:00,23.0,61,1009
2010-01-03 18:00:00,24.8,65,1010
2010-01-03 21:00:00,23.0,66,1011
2010-01-04 00:00:00,24.8,65,1011
2010-01-04 03:00:00,23.0,68,1012
2010-01-04 06:00:00,24.8,69,1011
2010-01-04 09:00:00,26.6,63,1012
2010-01-04 12:00:00,30.2,59,1010
2010-01-04 15:00:00,28.4,65,1010
2010-01-04 18:00:00,28.4,71,1012
2010-01-04 21:00:00,26.6,71,1012
2010-01-05 00:00:00,26.6,71,1012
2010-01-05 03:00:00,24.8,75,1013
2010-01-05 06:00:00,24.8,74,1012
2010-01-05 09:00:00,28.4,64,1013
2010-01-05 12:00:00,33.8,58,1010
2010-01-05 15:00:00,30.2,64,1010
2010-01-05 18:00:00,28.4,67,1011
2010-01-05 21:00:00,26.6,74,1011
2010-01-06 00:00:00,28.4,71,1011
2010-01-06 03:00:00,28.4,72,1010
2010-01-06 06:00:00,28.4,75,1011
2010-01-06 09:00:00,32.0,68,1012
2010-01-06 12:00:00,35.6,65,1011
2010-01-06 15:00:00,33.8,70,1012
2010-01-06 18:00:00,30.2,73,1013
2010-01-06 21:00:00,28.4,75,1015
2010-01-07 00:00:00,28.4,76,1015
2010-01-07 03:00:00,28.4,74,1017
2010-01-07 06:00:00,26.6,77,1017
2010-01-07 09:00:00,32.0,65,1017
2010-01-07 12:00:00,35.6,57,1016
2010-01-07 15:00:00,32.0,66,1015
2010-01-07 18:00:00,28.4,77,1015
